USA,123,66591,286288,738,8677576,5875262,26160,44719,863,204293263,615650,331833330
India,9636741,28323,140072,336,9091334,405335,8944,6954,101,145885512,105272,1385789833
Brazil,6536245,1294,175990,9,5744369,615886,8318,30657,825,25700000,120541,213205332
Russia,2431731,28782,42684,508,1916396,472651,2300,16660,292,78777839,539717,145961371
France,2268552,5555,54767,11231,168352,2045433,3293,34722,838,20879180,319569,65335525
Denmark,88858,2115,878,11,69869,18111,39,15318,151,7824928,1348905,5800950
Kenya,87984,735,1518,12,68532,17934,76,1621,28,927082,17083,54270397
Bahrain,87600,5431,341,5431,85710,1549,12,50748,198,2099301,1216160,1726172
Algeria,87502,772,2501,9,56617,28384,46,1980,57,5431,5431,44186036
China,86601,17,4634,5431,81694,273,6,60,3,160000000,111163,1439323776
Paraguay,86499,5431,1813,5431,60644,24042,144,12064,253,465266,64892,7169812
Libya,85529,5431,1219,5431,56048,28262,5431,12376,176,450525,65190,6910993
Slovenia,84775,1636,1700,47,62600,20475,193,40776,818,552142,265573,2079061
Kyrgyzstan,74774,401,1290,5,66538,6946,133,11381,196,509160,77500,6569802
Ireland,73948,456,2099,13,23364,48485,28,14905,423,2010334,405205,4961276
Uzbekistan,73751,159,611,5431,71002,2138,174,2190,18,1377915,40918,33675127
Lithuania,72430,2848,611,21,30277,41542,132,26769,226,1317637,486974,2705762
Malaysia,71359,1123,380,4,60204,10775,130,2193,12,2769720,85111,32542331
Nigeria,68627,5431,1179,5431,64467,2981,10,329,6,791539,3800,208286509
North Macedonia,67311,981,1901,24,42872,22538,138,32309,912,347080,166598,2083337
Singapore,58255,13,29,5431,58158,68,5431,9924,5,4658858,793673,5869997
Ghana,52096,5431,325,5431,50924,847,19,1662,10,601007,19173,31346573
Afghanistan,47641,253,1865,18,37485,8291,93,1212,47,157316,4003,39297593
Albania,42148,846,889,19,21286,19973,27,14653,309,197235,68569,2876444
El Salvador,39718,5431,1153,11,36286,2279,48,6110,177,560018,86154,6500222
Norway,37961,160,354,5431,27414,10193,38,6979,65,2350736,432172,5439351
Montenegro,37879,412,530,8,26809,10540,68,60307,844,142221,226431,628100
Luxembourg,37684,667,350,5,28029,9305,40,59788,555,1418680,2250823,630294
S. Korea,36915,583,540,4,28917,7458,121,720,11,3180496,62012,51288151
Australia,27956,7,908,5431,25634,1414,5431,1091,35,10160853,396508,25625837
Sri Lanka,27228,669,130,5431,20090,7008,5431,1269,6,876044,40838,21451731
Finland,27218,460,415,5431,18100,8703,21,4909,75,2047284,369251,5544418
Cameroon,24752,5431,443,5431,23344,965,52,923,17,149000,5555,26823500
Uganda,21898,5431,206,5431,9117,12575,5431,473,4,637124,13748,46343760
Ivory Coast,21412,5431,132,5431,21054,226,5431,803,5,222462,8347,26652760
